Sl.no,Species_common_name,Species_scientific_name,lat,lon,Month,Year,Source,Comments,name_combined,Source_type
93,Blue_whale,Balaenoptera musculus,5.928290853,80.41760651,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
94,Blue_whale,Balaenoptera musculus,5.896155219,80.4584048,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
95,Blue_whale,Balaenoptera musculus,5.874358877,80.47712729,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
96,Blue_whale,Balaenoptera musculus,5.895037458,80.4008401,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
97,Blue_whale,Balaenoptera musculus,5.881344884,80.49920308,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
98,Blue_whale,Balaenoptera musculus,5.871285034,80.45365431,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
99,Blue_whale,Balaenoptera musculus,5.852003653,80.37373439,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
100,Blue_whale,Balaenoptera musculus,5.860666302,80.38686808,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
101,Blue_whale,Balaenoptera musculus,5.836075557,80.30527152,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
102,Blue_whale,Balaenoptera musculus,5.813999774,80.32567066,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
103,Blue_whale,Balaenoptera musculus,5.772922051,80.31533137,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
104,Blue_whale,Balaenoptera musculus,5.766774365,80.40670834,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
105,Blue_whale,Balaenoptera musculus,5.774598693,80.39525129,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
106,Blue_whale,Balaenoptera musculus,5.771245409,80.3863092,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
107,Blue_whale,Balaenoptera musculus,5.788011827,80.40195786,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
108,Blue_whale,Balaenoptera musculus,5.793600633,80.40391394,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
109,Blue_whale,Balaenoptera musculus,5.802822162,80.39217745,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
110,Blue_whale,Balaenoptera musculus,5.813999774,80.39385409,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
111,Blue_whale,Balaenoptera musculus,5.817911938,80.41006162,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
112,Blue_whale,Balaenoptera musculus,5.817911938,80.41006162,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
113,Blue_whale,Balaenoptera musculus,5.8391494,80.39804569,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
114,Blue_whale,Balaenoptera musculus,5.837472758,80.39245689,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
115,Blue_whale,Balaenoptera musculus,5.840826042,80.39105968,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
116,Blue_whale,Balaenoptera musculus,5.845855967,80.38714752,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
117,Blue_whale,Balaenoptera musculus,5.84837093,80.40559058,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
118,Blue_whale,Balaenoptera musculus,5.863740146,80.42990189,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
119,Blue_whale,Balaenoptera musculus,5.863181265,80.43409349,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
120,Blue_whale,Balaenoptera musculus,5.857592459,80.42347476,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
121,Blue_whale,Balaenoptera musculus,5.853959735,80.4209598,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
